year,ค๋,ค้,negative
2017,8,3,0
2017,8,2,0
2017,8,1,0
2017,7,31,0
2017,7,30,0
2017,7,29,0
2017,7,28,0
2017,7,27,0
2017,7,26,0
2017,7,25,0
2017,7,24,0
2017,7,23,0
2017,7,22,0
2017,7,21,0
2017,7,20,0
2017,7,19,0
2017,7,18,0
2017,7,17,0
2017,7,16,0
2017,7,15,0
2017,7,14,0
2017,7,13,0
2017,7,12,0
2017,7,11,0
2017,7,10,0
2017,7,9,0
2017,7,8,0
2017,7,7,0
2017,7,6,0
2017,7,5,0
2017,7,4,0
2017,7,3,0
2017,7,2,0
2017,7,1,0
2017,6,30,0
2017,6,29,0
2017,6,28,0
2017,6,27,0
2017,6,26,0
2017,6,25,0
2017,6,24,0
2017,6,23,0
2017,6,22,0
2017,6,21,0
2017,6,20,0
2017,6,19,0
2017,6,18,0
2017,6,17,0
2017,6,16,0
2017,6,15,0
2017,6,14,0
2017,6,13,0
2017,6,12,0
2017,6,11,0
2017,6,10,0
2017,6,9,0
2017,6,8,0
2017,6,7,0
2017,6,6,0
2017,6,5,0
2017,6,4,0
2017,6,3,0
2017,6,2,0
2017,6,1,0
2017,5,31,0
2017,5,30,0
2017,5,29,0
2017,5,28,0
2017,5,27,0
2017,5,26,0
2017,5,25,0
2017,5,24,0
2017,5,23,0
2017,5,22,0
2017,5,21,0
2017,5,20,0
2017,5,19,0
2017,5,18,0
2017,5,17,0
2017,5,16,0
2017,5,15,0
2017,5,14,0
2017,5,13,0
2017,5,12,0
2017,5,11,0
2017,5,10,0
2017,5,9,0
2017,5,8,0
2017,5,7,0
2017,5,6,0
2017,5,5,0
2017,5,4,0
2017,5,3,0
2017,5,2,0
2017,5,1,0
