type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_815519288623677,https://www.facebook.com/157215971120682/posts/815519288623677,其他,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19990235_815519451956994_3483298005662346785_n.jpg?oh=c1283a8ad8d33fe1d4514ee004dc7222&oe=5A2F45F8,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/19990235_815519451956994_3483298005662346785_n.jpg?oh=adb3857cd77f4dd62173ebebdfd8b7d3&oe=59F5B439,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/815519451956994/?type=3,facebook.com,2017-07-10T10:44:00+0000,1499683440,2017/7/10 12:44,9345,361,9986,886,11233,361,191,170,963,0,9326,318,269,51,0,2,0,2017/7/10,2017,7,10,2,1,0,1,1
video,post_page_157215971120682,157215971120682_810638019111804,https://www.facebook.com/157215971120682/posts/810638019111804,2017搖滾世大運 大聲唱出I am here 為世大運加油  本活動由臺北市政府觀光傳播局主辦 #iamhere搖滾世大運 #2017臺北世大運,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19747500_810672425775030_2446277152618840064_n.jpg?oh=6bde2d81729d6b5c5dcc5c3d116286b6&oe=59FB11FE,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19747500_810672425775030_2446277152618840064_n.jpg?oh=a3d29b03768724e11f2e98478788e29e&oe=59EC2544,https://www.facebook.com/taipei2017/videos/810638019111804/,facebook.com,2017-07-02T02:55:19+0000,1498964119,2017/7/2 04:55,1111,24,1152,38,1214,23,22,1,14,0,1109,28,3,8,1,1,0,2017/7/2,2017,7,2,31,0,4,4,0
link,post_page_157215971120682,157215971120682_801087320066874,https://www.facebook.com/157215971120682/posts/801087320066874,運動粉絲們照過來?? 觀賽需士氣??玩樂需元氣??  精挑細選遊玩路線?? 讓您好吃好玩?  Jump in for Taipei  城市觀光導覽官網：www.travels.2017.taipei  #恭喜臺北上榜全球前20大熱門城市?? #2017臺北世大運 #Taipei2017,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t39.2147-6/c52.0.130.130/p130x130/18928592_801079763400963_148847035150237696_n.jpg?oh=d3434c913d7bde87a34a655442041076&oe=59F5F853,https://scontent.xx.fbcdn.net/v/t39.2147-6/18928592_801079763400963_148847035150237696_n.jpg?oh=c966f878eb81c647adf1d09520606776&oe=5A2B5BB0,http://www.travels.2017.taipei/,travels.2017.taipei,2017-06-17T02:44:00+0000,1497667440,2017/6/17 04:44,539,5,553,32,590,5,4,1,1,0,538,8,3,1,0,0,0,2017/6/17,2017,6,17,7,0,0,0,0
video,post_page_157215971120682,157215971120682_797789510396655,https://www.facebook.com/157215971120682/posts/797789510396655,3?三分鐘看世大運?  想要更了解世大運嗎？  2017臺北世大運：https://goo.gl/7fWQdO,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19123602_797790893729850_4041222406268780544_n.jpg?oh=53482a81379f9374dd58289aad04e52e&oe=5A344A90,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19123602_797790893729850_4041222406268780544_n.jpg?oh=fdf697290a9640861a86ee8af3e420d5&oe=59FEB12A,https://www.facebook.com/taipei2017/videos/797789510396655/,facebook.com,2017-06-11T09:17:00+0000,1497172620,2017/6/11 11:17,3794,100,4071,1105,5276,95,62,33,57,0,3788,183,14,7,2,0,0,2017/6/11,2017,6,11,2,0,0,0,0
photo,post_page_157215971120682,157215971120682_797214537120819,https://www.facebook.com/157215971120682/posts/797214537120819,??騎乘自行車參與運動盛會，最對味?? 有這麼多方便的 UBike，請大家一定要好好利用一下。  騎U Bike去看世大運好處很多 ?1. 自己先騎車運動、再看比賽??標準體育魂! ?2. 節能減碳、騎完還能放心吃吃喝喝、看比賽 ?3. 租借超方便，北北桃竹都有租借點喔！ ?4. 第四個優點留給你告訴大家！！  #UBike愛好者請留言 #請分享圖片 #大家一起UBike看世大運  ??更多Youbike微笑單車：https://www.youbike.com.tw/ ??快來安排你的世大運賽程路線吧！https://goo.gl/BeWhh7,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18921848_797214537120819_2319519754991125608_n.jpg?oh=cbe0650182f1b45d4baa633c807a7162&oe=59F007AE,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18921848_797214537120819_2319519754991125608_n.jpg?oh=14a98975bca6c9fcf83dc8917f594ab6&oe=59F85D51,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/797214537120819/?type=3,facebook.com,2017-06-09T09:27:46+0000,1497000466,2017/6/9 11:27,140,2,143,7,152,2,2,0,3,0,139,3,0,0,0,0,0,2017/6/9,2017,6,9,119,2,4,6,1
photo,post_page_157215971120682,157215971120682_795761727266100,https://www.facebook.com/157215971120682/posts/795761727266100,??臺北世大運志工總動員??  除了選手及主辦單位之外，志工也是辦理大型賽事很重要的一員喔!! 你知道臺北世大運有多少志工投入嗎? 又分為哪幾種志工呢???????  以下開放志工夥伴簽到(≧ω≦)/  #一張圖帶你認識志工 #到時候進場為選手加油 #也為志工夥伴們加油 #按讚分享給志工愛的鼓勵  ??想知道更多2017臺北世大運嗎？https://goo.gl/7fWQdO,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18839071_795761727266100_3470734068092172011_n.jpg?oh=e7d0564e64dbd19c78b9a9e4caeef60d&oe=5A2BBBCE,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18839071_795761727266100_3470734068092172011_n.jpg?oh=a7bfb5b7e5a3112450d5d6fa9588494a&oe=59FEF131,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/795761727266100/?type=3,facebook.com,2017-06-08T05:46:13+0000,1496900773,2017/6/8 07:46,1068,189,1093,39,1321,187,167,20,55,0,1065,15,7,1,1,0,0,2017/6/8,2017,6,8,1,0,0,0,0
link,post_page_157215971120682,157215971120682_795706740604932,https://www.facebook.com/157215971120682/posts/795706740604932,8?用八個數字，帶你認識臺北世大運?? ??你知道舉辦臺北世大運，需要動員多少人力、場地嗎?！  我們也來用按讚、分享的方式???? 一起在社群上創造『屬於我們的數字』吧????  #參與世大運好簡單　 #按讚分享就可以 #你跟上了嗎 #當然到時候也要記得進場  #為選手們加油喔  ??想知道更多2017臺北世大運嗎？https://goo.gl/7fWQdO,其他,一般推廣,B,B,https://external.xx.fbcdn.net/safe_image.php?d=AQD90GtvFqm637Rz&url=https%3A%2F%2Fi.imgur.com%2F0bMW9rY.gif%3Fnoredirect&_nc_hash=AQBpkbqKEcqAFEbB,https://external.xx.fbcdn.net/safe_image.php?d=AQD90GtvFqm637Rz&url=https%3A%2F%2Fi.imgur.com%2F0bMW9rY.gif%3Fnoredirect&_nc_hash=AQBpkbqKEcqAFEbB,http://i.imgur.com/0bMW9rY.gifv,i.imgur.com,2017-06-06T12:00:00+0000,1496750400,2017/6/6 14:00,428,0,436,68,504,0,0,0,0,0,426,5,3,0,0,0,0,2017/6/6,2017,6,6,0,0,0,0,0
event,post_page_157215971120682,157215971120682_456602314676214,https://www.facebook.com/157215971120682/posts/456602314676214,【活動介紹】2017世大運是臺灣有史以來舉辦最大型的國際綜合型賽事，這一次，我們將不只坐在螢幕前為選手加油，更邀請全臺灣人集結為一個團隊，於4月至6月間共同挑戰2 017 819公里的運動里程(不限定運動項目，可記錄里程皆可)，為即將於8月19日正式展開的臺北世大運，一起暖身、一起親身見證！  【民眾參與方式】 ?世大運官方粉絲團【Run your way全民奔向世大運】活動專頁 活動期間內(4至6月)，於本活動專頁指定貼文上傳你的運動截圖，並留言#2017819km，就有機會獲得合作單位所提供的運動補給包。  ?合作單位創意提案 【Run your way全民奔向世大運】廣邀全臺多家品牌企業參與，提供獎品或創意宣傳內容為你加油，超過12項不同主題的活動參與方案等你來參加，別坐著發呆了，趕快跟著老師動茲動茲！  更多活動參與方案請見「Run your way全民奔向世大運」活動官網 http://partner.2017.taipei/activity.php,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/c65.0.130.130/p130x130/18814380_793022694206670_1943958441205521721_n.jpg?oh=c7c1eaa3aed596c3c4c688a806b93414&oe=59F2DA06,https://scontent.xx.fbcdn.net/v/t31.0-8/c360.0.720.720/p720x720/18814514_793022694206670_1943958441205521721_o.jpg?oh=798dc22bfb7d7e720256aa249ae98731&oe=59F2625C,https://www.facebook.com/events/456602314676214/,facebook.com,2017-06-01T09:18:07+0000,1496308687,2017/6/1 11:18,151,2,154,0,156,2,2,0,0,0,150,2,1,0,0,0,0,2017/6/1,2017,6,1,6,0,0,0,0
video,post_page_157215971120682,157215971120682_790415717800701,https://www.facebook.com/157215971120682/posts/790415717800701,Behind the scenes Taipei in motion：Behind the scenes 幕後花絮  《Taipei in motion》宣傳片的籌備時間近半年，從幾何線條出發，上天下海、超高速攝影結合城市的脈動與運動的瞬間，我們不只希望讓每一幕都能像海報一樣精采，更希望透過動態與動畫捕捉運動的能量，向世界展現一流的臺北。  感謝每一個為這支影片付出的人，也希望大家能把看到這支影片的感動化為正向能量，傳遞給即將代表我國出賽的世大運選手身上，她/他們需要我們的全力支持，讓她/他們在主場上以身為運動員為榮，才是我們最大的驕傲。  #TaipeiInMotion #2017臺北世大運 #6月13日開始售票  ◤A Film by Bito ◢  Creative Director : 劉耕名 Keng-Ming Liu  Director : 劉耕名 Keng-Ming Liu / 尹國賢 Gavin Yin / 程紀皓 Howard Cheng Art Director : 劉熙真 Hsi-Jen Liu  Designer : 劉熙真 Hsi-Jen Liu / 朱哲頡 Che-Chieh Chu / 高慶和 Ching-Ho Kao Producer : 陳克柔 Carol Chen Copy Director : 黃心怡 Vicki Huang Account manager : 彭乃芸 Naiyun Peng Editor : 程紀皓 Howard Cheng / 劉耕名 Keng-Ming Liu Animation & Compositing : 劉熙真 Hsi-Jen Liu / 朱哲頡 Che-Chieh Chu  / 高慶和 Ching-Ho Kao Music Production : Subject 2 Sound Music : 黃俐雅 Liya Huang Sound Design : Dave Dunlap Sound Mixing : 王永鈞 Chief Wang Color Grading : 布丁  ◤SPORT PART 運動項目◢  Director : 尹國賢 Gavin Yin On-set Production Manager : 張俊謙 Jerry Chang Director of Photography : 傅士英  Camera Assistant : 簡金湖/ 柏翔/ 世豪/ 廷騏/ 孝?  Lighting : 周華光  Lighting Assistant : 廖文松/ 曾合健/ 李家弦/ 林顯銘/ 徐瑋彥  Dolly Grip : 洪祥智/ 蔡承潣/ 卓一鳴/ 高洧睫  Art Crew : 鄭維喬  Producer Crew : 江建泰 Chien Tai/ 江秉叡/ 陳肇延  Casting : 曾薰嫻  Styling : 芭比  Make Up : 黃歆恩  Camera Equipment : 宏達數位影業有限公司  Fly Can : AKfly 何文杉/ 柯奐辰  Lighting Equipment : 鴻臣實業有限公司  Extra Equipment : 懿生影業移動攝影  Transportation : 五福將工作室  ◤CITY PART城市印象 ◢  Director : 程紀皓 Howard Cheng Director of Photography : 程紀皓 Howard Cheng/ 湯育宇 Cliff Tang On-set Production Manager : 陳丞楦 Katie Chen  ◤ATHLTETES運動員 ◢  田徑 : 曾秉凡 足球 : 林子豪 宋承霖 許冠弘 陳亭皓 排球 : 尤敏心 車函萱 游泳 : 趙德恩 舉重 : 田葳德 跆拳道 : 陳建成 黃彥霖 體操 : 唐綸  擊劍 : 涂詠耀 張秉鈞 初孟軒 滑輪 : 謝牧倫 林鈴毅 棒球 : 曾琦 徐銘澤 葉濠瑋 蘇俊豪 王詩聰 何嘉慶 張竣凱 劉軒苔 許少綸 黃逸鑫 尹德融 劉家宏 梁馨如 網球 : 宋季蓁 田徑 : 李文扉 籃球 : 鄭德維 李其恩 林俊傑 楊俊傑 呂孟瑋 朱冠宇 撞球 : 江韋翰 射箭 : 張鐙允 桌球 : 陳宜燦 游榮謙 跳高 : 彭子玲  柔道 : 江松鴻 陳政和  ◤Behind the scenes幕後花絮 ◢  選曲/調色/ 剪接：翁愷均 Ha Weng 攝影：翁愷均 Ha Weng / 朱旻修 Chu Min-Hsiu / 賴謙暉 Lai Chain-Hui  ◤SPECIAL THANKS特別感謝 ◢  指導單位 : 2017臺北世界大學運動會組織委員會、臺北市政府觀光傳播局  世大運品牌諮詢小組 : 張基義 陳美燕 徐正賢 朱開宇 姜漢威 華天灝 林大涵 王宗欣 邱昱凱 潘姿吟 王寶萱,售票,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/18737866_790418247800448_5455999446913384448_n.jpg?oh=46ebfa35d3e1e370b93d727e6a07ad22&oe=59FF26CB,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18737866_790418247800448_5455999446913384448_n.jpg?oh=1387e6b20737a60a0b6ef8f132f6998f&oe=59F95371,https://www.facebook.com/taipei2017/videos/790415717800701/,facebook.com,2017-05-27T12:39:31+0000,1495888771,2017/5/27 14:39,8777,213,9326,2049,11588,212,163,49,282,0,8750,438,101,4,0,2,1,2017/5/27,2017,5,27,0,0,0,0,0
photo,post_page_157215971120682,157215971120682_788258124683127,https://www.facebook.com/157215971120682/posts/788258124683127,【 看著他，就好像看到臺灣一樣，雖然先天不足，但仍然奮力想讓人看見自己。】 　 我們在這裡，臺灣在這裡 I AM HERE！ 這就是我們的搖滾世大運精神！ 　  瞭解更多：搖滾世大運預告紀錄片 https://www.youtube.com/watch?v=9IzDq-06cGo,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18582195_788258124683127_5471589568158594321_n.jpg?oh=30f9e0066ae6e8f99ec3c7114de1135c&oe=5A2AD691,https://scontent.xx.fbcdn.net/v/t1.0-9/18582195_788258124683127_5471589568158594321_n.jpg?oh=575478ffdeda56e8eaae4b9f0dd645e6&oe=5A371A0C,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/788258124683127/?type=3,facebook.com,2017-05-27T05:30:00+0000,1495863000,2017/5/27 07:30,175,0,187,5,192,0,0,0,0,0,174,11,0,1,0,0,0,2017/5/27,2017,5,27,5,0,0,0,0
