type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_828608027314803,https://www.facebook.com/157215971120682/posts/828608027314803,??2017臺北世大運售票資訊 競賽門票清票釋出公告??  ??專屬世大運粉絲福利 單日競賽門票最後預購機會 今日 8/2 (三) 中午12:00 開始再次販售  7/31止未售完之套票額度將釋出至每日競賽門票販售， 還沒有搶到熱門賽事的粉絲們不要錯過這個機會喔!!!!  以下售票管道同步開放再次販售 ?? 2017臺北世大運購票網站 https://tickets.2017.taipei/ ?? 超商機台: 7-ELEVEN ibon 、萊爾富Life-ET、OK超商OK.go  ??競賽門票釋出公告 https://goo.gl/aQ1LpE,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20476543_828608027314803_2953165435818117540_n.jpg?oh=b660203bf142f709febcb024e8e66e7e&oe=59EC4F16,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20476543_828608027314803_2953165435818117540_n.jpg?oh=cbbe0de2ee1121b64d049190b85dab8b&oe=59FB6DE9,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828608027314803/?type=3,facebook.com,2017-08-02T03:53:08+0000,1501645988,2017/8/2 05:53,759,78,771,43,892,67,41,26,29,0,759,5,3,4,0,0,0,2017/8/2,2017,8,2,1,0,0,0,0
photo,post_page_157215971120682,157215971120682_827717134070559,https://www.facebook.com/157215971120682/posts/827717134070559,★★★2017世大運競賽門票預售8折優惠至今日(7月31日)★★★  2017臺北世大運競賽門票抽獎活動【留言送好禮】～第三週～START！  競賽門票抽獎活動持續熱身， 活動將持續至 8 月 27 日止，還有4週，  只要在每週指定po文完成下面活動說明3步驟，就有機會得獎！  每週一抽出前一週參加活動的150位幸運朋友～快來留言參加！  ??上一週留言送好禮活動中獎名單， 請見競賽門票抽獎活動專頁：https://goo.gl/Wg5PDM  ★活動說明： 1. 加入「競賽門票抽獎活動」活動頁面 https://goo.gl/k43yin  2. 在此篇貼文留言 #購買世大運競賽門票 #一起來為世大運選手加油 即可參加!!  3. 活動期間：本篇留言截止至8 月 6 日 23:59 止  ★得獎公佈日期： 8 月 7 日中午   ★贈獎人數：150 位幸運朋友  ★活動贈品(隨機出貨)：世大運雙層玻璃隨行杯、超萌熊讚絨毛玩偶或世大運2in1掛牌行李束帶 快來訂閱活動頁面、留言抽好禮！  更重要的是，購票進場為選手們加油打氣喔！  ?? 世大運競賽門票抽獎活動網站：https://luckydraw.2017.taipei  ?? 官方購票網站：https://tickets.2017.taipei  備註:本抽獎活動以FB ID確認中?人身份與聯繫，恕不接受電話確認，因故無法確認中?人身份，將不列入中?資格。,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20476175_827717134070559_2736576959026536484_n.jpg?oh=03ded4857ec07f9dbda544d5effbb310&oe=5A31EACB,https://scontent.xx.fbcdn.net/v/t1.0-9/20476175_827717134070559_2736576959026536484_n.jpg?oh=39f03374445c1998a1efa9159ddc445c&oe=5A312E45,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/827717134070559/?type=3,facebook.com,2017-07-31T04:01:07+0000,1501473667,2017/7/31 06:01,2144,2019,2170,687,4876,2003,1931,72,160,0,2129,20,4,2,0,0,0,2017/7/31,2017,7,31,5,4,2,6,1
photo,post_page_157215971120682,157215971120682_788353368006936,https://www.facebook.com/157215971120682/posts/788353368006936,帶不走的是風景 帶得走的叫回憶 選幾天 打包走這趟旅程中 最美好的紀念品  ??世大運城市觀光導覽：https://www.travels.2017.taipei/ ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18557459_788353368006936_7833889975624253042_n.jpg?oh=5e0034556e52cb64be3fb93f1cf9de34&oe=59F933A9,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18557459_788353368006936_7833889975624253042_n.jpg?oh=19a2ec283437e388fdb3608f2ca5bdf0&oe=5A2F0756,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/788353368006936/?type=3,facebook.com,2017-07-30T06:44:00+0000,1501397040,2017/7/30 08:44,501,0,508,19,527,0,0,0,0,0,501,7,0,0,0,0,0,2017/7/30,2017,7,30,4,0,5,5,0
video,post_page_157215971120682,157215971120682_824736681035271,https://www.facebook.com/157215971120682/posts/824736681035271,??選手餐廳登場   EAT起迎接世大運??  ?? 為了迎接上萬名選手飲食需求?? ?? 世大運選手餐廳擁有多達3 500座位，供應世界五大菜系 ?? ?? 近 700 名實習生加入服務行列 ?? ?? 每日將提供 35 000 ~ 40 000 份餐點，連續20小時營運不間斷 ?? ?? 還有臺灣特色小吃，要讓各地選手體驗道地美食 ?? ?? 你想推薦什麼臺灣美食給各國的選手呢 ? ??  ?? 更多選手村餐廳 https://goo.gl/rbnWE3 ?? 快來安排觀賽日程 https://goo.gl/BeWhh7 ?? 購票進場熱血應援 http://tickets.2017.taipei   ??The Athletes’ Village Dining Hall  The AV Dining Hall menu has been published on the official website in the section of “AV Dining Hall”. We welcome all interested to check up.  ?? AV Dining Hall https://goo.gl/2xfhDL ?? Competition Schedule https://goo.gl/BeWhh7 ?? Tickets http://tickets.2017.taipei  #臺灣美食,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20415333_824739284368344_1927799390819319808_n.jpg?oh=90ed2c977e8a1019fc968709d4988c5d&oe=59ECBD50,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20415333_824739284368344_1927799390819319808_n.jpg?oh=a517eebd4587462ff9b22842633c025b&oe=59F53EEA,https://www.facebook.com/taipei2017/videos/824736681035271/,facebook.com,2017-07-26T07:44:00+0000,1501055040,2017/7/26 09:44,1419,45,1473,109,1627,36,29,7,21,0,1417,26,26,2,0,0,0,2017/7/26,2017,7,26,1,0,0,0,0
video,post_page_157215971120682,157215971120682_823640291144910,https://www.facebook.com/157215971120682/posts/823640291144910,我們都是中華隊神隊友 Team up 讓我們成為中華隊隊友的一員  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei  #teamtpe  #2017臺北世大運 #全主場  ? 本片由大專體總製作，特別感謝教育部體育署,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20205280_10154938062133163_6453308964921671680_n.jpg?oh=fb92fea2b960ed993a3c40ceb9b9cb56&oe=5A37C0F5,https://scontent.xx.fbcdn.net/v/t15.0-10/20205280_10154938062133163_6453308964921671680_n.jpg?oh=ee4b0a2849a55faa06d509f96dd8c4cf&oe=5A39804E,https://www.facebook.com/CTUSFSSU/videos/10154938061263163/,facebook.com,2017-07-25T03:44:00+0000,1500954240,2017/7/25 05:44,407,4,414,0,418,4,2,2,0,0,407,5,0,2,0,0,0,2017/7/25,2017,7,25,12,0,0,0,0
video,post_page_157215971120682,157215971120682_810086015833671,https://www.facebook.com/157215971120682/posts/810086015833671,??捍衛主場 非你不可??  ??我挺世大運我驕傲 用行動力挺世大運，一起幫中華隊加油!!??  #2017世大運 #中華隊加油 #全民挺世大運  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19691977_810086585833614_4385385720609505280_n.jpg?oh=ffe22dffb4471f61c0fb7299ea1d847b&oe=59F3018C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19691977_810086585833614_4385385720609505280_n.jpg?oh=6ae5c9fb0447bdb6257acf11b92c1b84&oe=5A33EF36,https://www.facebook.com/taipei2017/videos/810086015833671/,facebook.com,2017-07-23T05:14:00+0000,1500786840,2017/7/23 07:14,551,5,566,23,594,2,2,0,2,0,550,14,1,0,0,0,0,2017/7/23,2017,7,23,8,0,0,0,0
photo,post_page_157215971120682,157215971120682_788354874673452,https://www.facebook.com/157215971120682/posts/788354874673452,??看世大運、玩臺灣??  Step1?：買世大運門票 Step2?：選購觀光導覽遊程，有一日遊、多日遊還可以上玉山看黑熊！ Step3?：看比賽為臺灣選手加油!  Jump in for Taipei城市觀光導覽：www.travels.2017.taipei  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/q81/s130x130/18664273_788354874673452_96058125043391032_n.jpg?oh=59983d20cac202a2b9e236365852d517&oe=59F7570B,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18664273_788354874673452_96058125043391032_n.jpg?oh=268fbef579052d2a4e9e2bbe9ea57111&oe=59FAA5C3,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/788354874673452/?type=3,facebook.com,2017-07-22T02:00:00+0000,1500688800,2017/7/22 04:00,417,1,419,21,441,1,1,0,0,0,416,2,0,0,0,0,0,2017/7/22,2017,7,22,4,0,0,0,0
video,post_page_157215971120682,157215971120682_810181722490767,https://www.facebook.com/157215971120682/posts/810181722490767,??捍衛主場 非你不可??  ??用臺灣人的熱情  向全世界宣告 2017臺北世大運我們來了 準備好你的加油道具(海報)了嗎? 一起幫中華隊加油!!??  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19712675_810188739156732_8273324777058336768_n.jpg?oh=364733dff4c9bc7c3a4c756f27415bbe&oe=5A00E0D0,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19712675_810188739156732_8273324777058336768_n.jpg?oh=5c0e5105295098487e60dfee11004845&oe=59F7066A,https://www.facebook.com/taipei2017/videos/810181722490767/,facebook.com,2017-07-16T03:44:00+0000,1500176640,2017/7/16 05:44,533,6,542,31,579,4,4,0,1,0,532,5,0,4,0,0,0,2017/7/16,2017,7,16,0,0,1,1,0
photo,post_page_157215971120682,157215971120682_817729705069302,https://www.facebook.com/157215971120682/posts/817729705069302,??警犬隊六小萌　現身臺北田徑場??  田徑場來了一群可愛小夥伴－警犬隊六小萌 跟著他們的哥哥姐姐們 新北市政府警察局 警犬隊 NTPD K-9 Unit 穿梭在田徑場內，雖然只是見習，也是很有架勢的喔！  有了這些強力的後援，大家可以安心的進場觀看比賽 一起為選手們加油打氣喔！！  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19961326_1374802152557442_6596530708290527271_n.jpg?oh=7ce46f2ca2d7bb989eb7850857eff587&oe=59EF0354,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19961326_1374802152557442_6596530708290527271_n.jpg?oh=12a9979efcbbfa4e3ca28689df58ba92&oe=59FA8041,https://www.facebook.com/NPA4U/photos/a.827869690584027.1073741828.818773044827025/1374802152557442/?type=3,facebook.com,2017-07-14T09:17:00+0000,1500023820,2017/7/14 11:17,1515,33,1742,0,1775,33,21,12,7,0,1512,182,3,41,0,0,0,2017/7/14,2017,7,14,1,0,0,0,0
video,post_page_157215971120682,157215971120682_816035555238717,https://www.facebook.com/157215971120682/posts/816035555238717,??一份努力一份堅持 我們讓世界聽到這座島嶼的名字??  2017臺北世大運官方贊助商昇恆昌 站在迎向世界的第一線 為遠征各地的臺灣選手們，獻上祝福  運動觸動心中的感動 2017臺北世大運與您一同見證臺灣選手的成就!  更多精彩故事 在2017臺北世大運官方贊助商 EVER RICH 昇恆昌 https://goo.gl/eqkIxU  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ??? 一起進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19183182_1611737082192417_7871518208421789696_n.jpg?oh=c3f9189702360362f365902419128ce7&oe=59FDDDA5,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19183182_1611737082192417_7871518208421789696_n.jpg?oh=ccd9812cb5db4d17e9f77a87e64fcf1e&oe=5A363887,https://www.facebook.com/everrich.dutyfreeshop/videos/1611731552192970/,facebook.com,2017-07-11T11:00:40+0000,1499770840,2017/7/11 13:00,337,4,350,0,354,4,3,1,3,0,337,10,1,2,0,0,0,2017/7/11,2017,7,11,4,0,0,0,0
