type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_826456100863329,https://www.facebook.com/157215971120682/posts/826456100863329,?? 重要公告 ?? iROO x世大運 活動取消  原訂於今 7 月 29 日下午 7 點 29 分 舉辦「iROO x世大運耀動時尚2017 Fashion Show」， 因颱風來襲，活動取消，請大家不要前往。  服裝設計將於下午 5 時預先錄影， 邀請大家於今晚 (7/29) 7 點29分 於iROO官方臉書 (https://www.facebook.com/irootw) 在家觀賞網路播出。,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20430171_826456100863329_905303646292358329_n.jpg?oh=fcb35c1cb3f026f69d6af0755258a3aa&oe=59F73278,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20430171_826456100863329_905303646292358329_n.jpg?oh=24bd81d1bdf34725c42e70d37a078eb6&oe=5A2C5A8F,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/826456100863329/?type=3,facebook.com,2017-07-29T07:16:40+0000,1501312600,2017/7/29 09:16,297,4,315,3,322,4,3,1,18,0,297,4,5,0,9,0,0,2017/7/29,2017,7,29,2,0,2,2,0
video,post_page_157215971120682,157215971120682_823641041144835,https://www.facebook.com/157215971120682/posts/823641041144835,?重要公告? 原訂於今7月29日下午7點29分舉辦「iROO x世大運耀動時尚2017 Fashion Show」，因颱風來襲，活動取消，呼籲民眾不要前往。  為展現臺灣服飾設計能量，並讓臺灣時尚與世界接軌，相關服裝設計將於下午5時預先錄影，邀請民眾於今晚7點29分可於贊助商官方臉書(https://www.facebook.com/irootw)在家觀賞網路播出。,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20172512_1536500169750295_7772656191640961024_n.jpg?oh=a1053afb3e5f1b1bf32e5f72dc826d36&oe=59FDA449,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20172512_1536500169750295_7772656191640961024_n.jpg?oh=359f60fb04f27b1fa7442505c370b590&oe=5A33F16B,https://www.facebook.com/irootw/videos/1536495396417439/,facebook.com,2017-07-25T02:00:10+0000,1500948010,2017/7/25 04:00,206,10,207,0,217,9,9,0,11,0,206,1,0,0,0,0,0,2017/7/25,2017,7,25,52,2,3,5,1
photo,post_page_157215971120682,157215971120682_810062955835977,https://www.facebook.com/157215971120682/posts/810062955835977,??明天市民廣場，一起搖滾世大運?????  7月2日上午 10 點 50 分 趕快來到臺北市政府前 市民廣場  讓我們一起大聲唱出「I AM HERE」！ 為世大運集氣加油！  #iamhere搖滾世大運 #臺北世大運加油  ?? 更多搖滾世大運 http://rock.2017.taipei/ ?? 搖滾世大運活動頁面 https://goo.gl/7jjm53,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/19665164_810062955835977_1487331844112472961_n.jpg?oh=03e693237d9fb2874d2a3e9edc4edb5b&oe=59F66203,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/19665164_810062955835977_1487331844112472961_n.jpg?oh=26b6c4d6382b2d19fffaef558f81a405&oe=59FC7FFC,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/810062955835977/?type=3,facebook.com,2017-07-01T07:42:14+0000,1498894934,2017/7/1 09:42,475,3,481,11,495,3,3,0,0,0,474,3,3,0,0,0,0,2017/7/1,2017,7,1,0,0,0,0,0
photo,post_page_157215971120682,157215971120682_806695516172721,https://www.facebook.com/157215971120682/posts/806695516172721,【 每個人都有權利再努力一點，對不對？】   我們在這裡，臺灣在這裡 I AM HERE！ 這就是我們的搖滾世大運精神！   搖滾世大運時間地點： 2017 年 7 月 2 日（日） 臺北市政府前市民廣場   瞭解更多：搖滾世大運紀錄片 https://www.youtube.com/watch?v=dkS9IDBESAw,其他,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19399989_806695516172721_6386386536542640467_n.jpg?oh=0611fad55c1cd1a196fd0fcb51741112&oe=5A2F0228,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19399989_806695516172721_6386386536542640467_n.jpg?oh=7d2568a158053224b29f9abecccbf1ca&oe=5A3416D7,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/806695516172721/?type=3,facebook.com,2017-06-29T03:30:00+0000,1498707000,2017/6/29 05:30,188,1,196,7,204,1,1,0,0,0,188,6,1,1,0,0,0,2017/6/29,2017,6,29,31,0,8,8,0
link,post_page_157215971120682,157215971120682_481920385511019,https://www.facebook.com/157215971120682/posts/481920385511019,各位搖滾夥伴大家好，經過密集協商和討論，活動再次舉辦資訊如下： →時間：2017.07.02 (日) →地點：臺北市政府前廣場 (市府路、新仁愛路、市民廣場) (7/2現場活動流程與場地平面圖將於近期公佈)  「2017搖滾世大運」活動將於7/2於台北市跨年晚會場地「市政府前廣場」舉辦，非常期待與各位一起在搖滾世大運的現場用力搖滾！  這將是臺灣最大的搖滾樂團， 號召愛好搖滾樂的青年朋友拾起樂器， 一起為2017臺北世界大學運動會暖身。  用年輕的熱血和自信邀請全世界的朋友來到臺灣， 在這裡，每一位表演者都是明星， 展現臺灣精神的傳承接力。  由國內12位資深搖滾音樂人、11位中生代搖滾樂手， 共同參與共演曲目的製作， 特地打造原創曲《I am Here》和改編曲《和天一樣高》， 超過30位種子教師進行線上線下的事前培訓教學， 讓我們拾起麥克風、拿起鼓棒、背起吉他和貝斯， 用體育+搖滾樂的世界語言， 告訴世界 I AM HERE!  Taipei 2017 Universiade - 世大運 董事長樂團 四分衛 主辦單位：臺北市政府觀光傳播局 特別感謝：悠遊卡股份有限公司 活動網站：rock.2017.taipei 報名已於5月12日截止，詳情請見活動網站,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/c134.0.130.130/p130x130/19423984_805465466295726_1808532757840900027_n.jpg?oh=6ee096774bf3186a6f56c3fe9a235bb7&oe=5A2A0133,https://scontent.xx.fbcdn.net/v/t31.0-8/q82/c742.0.720.720/p720x720/19417130_805465466295726_1808532757840900027_o.jpg?oh=f822dcdcb525ae8f455d583695d982d9&oe=59F856D5,https://www.facebook.com/events/481920385511019/,facebook.com,2017-06-24T02:46:57+0000,1498272417,2017/6/24 04:46,120,0,123,0,123,0,0,0,0,0,120,2,1,0,0,0,0,2017/6/24,2017,6,24,20,0,0,0,0
photo,post_page_157215971120682,157215971120682_802794803229459,https://www.facebook.com/157215971120682/posts/802794803229459,??RUN YOUR WAY全民奔向世大運 　歐陽靖運動分享會??  6月24日邀請歐陽靖來與大家分享 跑步經歷與路跑的小技巧 讓我們一起正確、健康的運動 快樂地迎接世大運的到來??  ??活動資訊 時間：6月24日(六)14:30-15:20 地點：臺北市中正運動中心1樓 （台北市中正區信義路一段1號）  ??參與方式：採網路預約報名制（限額100名） 前50名報名者可獲得神秘小禮喔！???? 詳情請見活動網站：https://goo.gl/LNf5Up,其他,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19225830_802794803229459_4255035644119017019_n.jpg?oh=81532732c00046f058b2b1de9921e4e7&oe=59FCDED2,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19225830_802794803229459_4255035644119017019_n.jpg?oh=b7d14c880be45739c7c89f770e2ba4f9&oe=59EDA72D,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/802794803229459/?type=3,facebook.com,2017-06-19T10:44:00+0000,1497869040,2017/6/19 12:44,205,1,210,9,220,1,1,0,0,0,205,2,2,1,0,0,0,2017/6/19,2017,6,19,2,0,0,0,0
photo,post_page_157215971120682,157215971120682_781511295357810,https://www.facebook.com/157215971120682/posts/781511295357810,?你發現「臺北世大運」了嗎？?  走在臺北街頭，你一定可以發現很多世大運的宣傳 在捷運南京復興站７號出口 巨大的跳水圖，要你感受競技運動的魅力  ?? 請你跟我這樣做：拍下你附近世大運宣傳物，在底下留言上傳照片！ ?? 獲得最多讚的照片前三名，就可獲得臺北世大運加油毛巾。 ?? 活動期間：即日起到6/30 中午12:00為止 ? 得獎名單將於 7/5 (三) 下午 5 時公布 ※ 主辦單位保有活動變更?解釋之權利 ?? 快來發現你的「臺北世大運」?  ??? 8/19~8/30一起進場為我們的運動員加油！http://tickets.2017.taipei ?? 安排您的觀賽日程吧！https://goo.gl/BeWhh7,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18425129_781511295357810_3034459009536859114_n.jpg?oh=a21d74e7ffc803fc3203005e0fc98800&oe=59FAD6DC,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/18425129_781511295357810_3034459009536859114_n.jpg?oh=ea24a5a7c12b20eba86a0b1d4df196cf&oe=5A37411D,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/781511295357810/?type=3,facebook.com,2017-06-19T04:19:32+0000,1497845972,2017/6/19 06:19,1006,77,1031,53,1161,77,39,38,406,0,1002,17,6,2,0,0,0,2017/6/19,2017,6,19,175,0,12,12,0
photo,post_page_157215971120682,157215971120682_795223117319961,https://www.facebook.com/157215971120682/posts/795223117319961,??????歷屆世大運奪牌選手榮耀回歸??????  1991年至2015年世大運  17位臺灣之光將親臨現場  跨世代菁英啦啦隊齊聚一堂???? 世界冠軍中華競技啦啦隊?? 以精湛技藝歡迎即將征戰世大運的臺灣選手們回家比賽??  6/17??讓我們一起Cheer for Taipei Universiade ??  「一起世大運 60倒數 Cheer for U」 時間：2017年6月17日(六) 14:00 地點：臺北體育館1樓 詳情請上文化活動官網查詢：http://events.2017.taipei  #CheerForU #CD60 #2017臺北世大運,其他,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18951501_795223117319961_8497481355030398262_n.jpg?oh=0cba474828b048916bc397e6a0f76d9e&oe=5A34793F,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18951501_795223117319961_8497481355030398262_n.jpg?oh=cf4698b9fbd7787b7a16e70453c8a605&oe=59F853C0,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/795223117319961/?type=3,facebook.com,2017-06-07T03:44:00+0000,1496807040,2017/6/7 05:44,214,1,222,12,235,1,1,0,0,0,212,4,2,2,0,0,0,2017/6/7,2017,6,7,196,12,4,16,1
event,post_page_157215971120682,157215971120682_871792019634837,https://www.facebook.com/157215971120682/posts/871792019634837,Cheer for U！以青春向青春致敬！  特別邀請2016 全國啦啦隊錦標賽的優勝隊伍參與世大運啦啦隊表演會，全臺灣優秀團隊將齊聚一堂，以多樣風格舞出臺灣的青春與活力，包括 : 嘻哈、彩球、爵士、舞蹈競技等精彩內容，絕不能錯過！  讓我們用精采演出向歷屆參與世大運的臺灣奪牌選手們獻上最高敬意，並歡迎即將征戰臺北世大運的選手們回家比賽！  《一起世大運 60倒數》 時間：2017/6/17(六) 14:00 地點：臺北體育館1F 詳細活動介紹：http://events.2017.taipei/,其他,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/c64.0.130.130/p130x130/18881948_795220800653526_7707781517698803170_n.jpg?oh=2f2bc874ef3f4c901c5fa342adea6113&oe=59FFE4F5,https://scontent.xx.fbcdn.net/v/t1.0-9/c187.0.376.376/18881948_795220800653526_7707781517698803170_n.jpg?oh=2e5993e853b43d066a8a05f894d4b66a&oe=59FFCFA2,https://www.facebook.com/events/871792019634837/,facebook.com,2017-06-05T08:29:35+0000,1496651375,2017/6/5 10:29,525,7,538,0,545,7,5,2,2,0,516,12,0,0,0,0,0,2017/6/5,2017,6,5,3017,17,94,111,1
photo,post_page_157215971120682,157215971120682_790393114469628,https://www.facebook.com/157215971120682/posts/790393114469628,??緊急公告?? 2017搖滾世大運活動因雨延期  非常抱歉，因台北市今明兩日天候不佳，考量活動參與安全性，原於5/28於中正紀念堂自由廣場舉辦的【2017搖滾世大運】活動確定延期，延期舉辦時間將於下周決定後另行通知。  若有任何問題請留言詢問 或來信活動Email：iamheretw@gmail.com  搖滾世大運活動頁面：https://goo.gl/jMDWzG,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18664425_790393114469628_1299421557749045814_n.jpg?oh=18cbeb6b67d71836d07f02c2cd8780c8&oe=59FA3A40,https://scontent.xx.fbcdn.net/v/t1.0-9/q85/s720x720/18664425_790393114469628_1299421557749045814_n.jpg?oh=d628b88ae0ae59685c8815f8f81cb41d&oe=5A38F8A9,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/790393114469628/?type=3,facebook.com,2017-05-27T09:24:10+0000,1495877050,2017/5/27 11:24,286,5,318,14,337,5,5,0,1,0,284,1,15,0,14,2,0,2017/5/27,2017,5,27,4,0,0,0,0
