type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
video,post_page_157215971120682,157215971120682_828860053956267,https://www.facebook.com/157215971120682/posts/828860053956267,??世大運韻律體操測試賽-詹庭甄個人全能奪銅??  世大運韻律體操測試賽8/2-8/3，在南港展覽館舉行 第一天賽程我國世大運代表隊分別在團體全能賽及個人全能賽收下兩銅 其中來自國立體大的詹庭甄以總分57.250拿到個人全能賽銅牌 一起來看看體操精靈的美妙舞姿!!  →2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ →8/27 - 8/29 進場為選手加油喔 ?? https://goo.gl/gxbMEb,體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617776_828860887289517_6400878594037383168_n.jpg?oh=00d153a89f5d5ddd28d1a6f1bc5e4908&oe=5A3568CC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617776_828860887289517_6400878594037383168_n.jpg?oh=2738fc7e8f4c1550334b116ad7d832ef&oe=5A2CE776,https://www.facebook.com/taipei2017/videos/828860053956267/,facebook.com,2017-08-03T03:44:00+0000,1501731840,2017/8/3 05:44,567,5,582,25,612,5,5,0,0,0,565,15,0,0,0,0,0,2017/8/3,2017,8,3,0,0,0,0,0
video,post_page_157215971120682,157215971120682_828752573967015,https://www.facebook.com/157215971120682/posts/828752573967015,【名人說故事4 - 許淑淨】 女生的力量可以有多大? 她舉起了全世界、讓世界看到臺灣 臺灣運動史上唯一奪得兩面金牌的選手 許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  #名人說故事 #2017臺北世大運 ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617714_828757397299866_4989928605476716544_n.jpg?oh=36bc9034d6906d1a4913e4f4a84defdd&oe=5A2EC6EF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617714_828757397299866_4989928605476716544_n.jpg?oh=d11159a1c04c1fd1a53cac177fa5bd83&oe=5A2AD755,https://www.facebook.com/taipei2017/videos/828752573967015/,facebook.com,2017-08-02T13:00:00+0000,1501678800,2017/8/2 15:00,1278,16,1320,126,1462,16,13,3,5,0,1277,41,1,0,0,0,0,2017/8/2,2017,8,2,4,0,0,0,0
video,post_page_157215971120682,157215971120682_828672713975001,https://www.facebook.com/157215971120682/posts/828672713975001,2017臺北世界大學運動會即將來到 熊讚由2D進化至3D，展演各式運動種類動作， 影片中不論是體操熊旋轉跳躍、溜冰熊競速追風、 武術熊一身武藝、田徑熊登高一跳等，  希望小朋友跟爸爸媽媽在 8 月 19 日至 8 月 30 日一起來購票觀看世大運，跟熊讚一起替台灣選手加油打氣，也跟熊讚一起在運動場上感受動感時刻，並留下美麗回憶。  ?? 購票跟熊讚一起替台灣選手加油打氣 https://tickets.2017.taipei/,吉祥物,運動,H,H,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20630793_828673163974956_8752543123273416704_n.jpg?oh=e42b351a77b24f725d5d78a10d9ff72d&oe=5A31BC3A,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20630793_828673163974956_8752543123273416704_n.jpg?oh=470c0215dcf8ea1874e8802be58ca3f6&oe=5A35AB80,https://www.facebook.com/taipei2017/videos/828672713975001/,facebook.com,2017-08-02T09:17:00+0000,1501665420,2017/8/2 11:17,720,10,747,101,858,10,10,0,4,0,720,20,1,6,0,0,0,2017/8/2,2017,8,2,29,4,3,7,1
video,post_page_157215971120682,157215971120682_828292987346307,https://www.facebook.com/157215971120682/posts/828292987346307,【名人說故事4】引言人- 徐裴翊  女生的力量可以有多大?她讓世界看見台灣 臺灣運動史上唯一奪得兩面金牌的選手許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  明天8/2 晚上9:00 完整呈現許淑淨Hsu Shu-Ching的故事  #名人說故事 #2017臺北世大運  ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20613581_828295520679387_1140484434663833600_n.jpg?oh=7d41f5e3babe89ffc26728ed57c74599&oe=59EB41BF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20613581_828295520679387_1140484434663833600_n.jpg?oh=4f95fefb1e1dbd9e1d7001c6ac4d6e3e&oe=59F73005,https://www.facebook.com/taipei2017/videos/828292987346307/,facebook.com,2017-08-01T13:00:00+0000,1501592400,2017/8/1 15:00,762,6,795,61,862,6,5,1,2,0,761,28,5,0,0,0,0,2017/8/1,2017,8,1,2,0,5,5,0
video,post_page_157215971120682,157215971120682_813051955537077,https://www.facebook.com/157215971120682/posts/813051955537077,??2017年國際韻律體操暨2017臺北世大運測試賽 即將於明天開始  想要提前感受賽會熱鬧氣氛的你千萬不要錯過喔!  韻律體操測試賽詳細賽程 https://goo.gl/PDtTs4  2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ 8/27 - 8/29 進場為選手加油喔 ?? https://goo.gl/gxbMEb,韻律體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19930074_813052352203704_4610288560623321088_n.jpg?oh=4308cec5076d8f8c021cc4e800297c7a&oe=59F7EDB6,https://scontent.xx.fbcdn.net/v/t15.0-10/19930074_813052352203704_4610288560623321088_n.jpg?oh=d04fbe343e19d48e501bcca07c6f0b80&oe=59F0575B,https://www.facebook.com/taipei2017/videos/813051955537077/,facebook.com,2017-08-01T09:22:54+0000,1501579374,2017/8/1 11:22,796,17,832,63,912,17,11,6,4,0,796,27,3,6,0,0,0,2017/8/1,2017,8,1,27,3,18,21,1
video,post_page_157215971120682,157215971120682_828181020690837,https://www.facebook.com/157215971120682/posts/828181020690837,?世大運之星-高爾夫俞俊安 ? 16歲就拿下亞運銅牌，目前就讀亞利桑那州立大學的俞俊安 世大運當然也不會缺席，向學校請假也要為中華隊在臺灣留下獎牌 ?? 高爾夫這次入選選手除了俞俊安外， 還有劉永華、賴嘉一、陳之敏、侯羽桑、陳萱共6位選手 8/24~8/27 高爾夫球賽事 就在揚昇高爾夫鄉村俱樂部 一起來為這些好手加油吧！  ?? 世大運高爾夫賽程：https://goo.gl/ZqvBY7 ?? 購票進場為選手加油：https://goo.gl/YS2UKM,高爾夫,運動,H,Golf,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20613387_828181500690789_3046438848721584128_n.jpg?oh=79510b794edb752094f0961291291ebc&oe=5A397362,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20613387_828181500690789_3046438848721584128_n.jpg?oh=13d85ab245c9937f265999661b952885&oe=59FB5ED8,https://www.facebook.com/taipei2017/videos/828181020690837/,facebook.com,2017-08-01T04:42:51+0000,1501562571,2017/8/1 06:42,436,11,443,41,495,11,11,0,2,0,435,5,2,0,0,0,0,2017/8/1,2017,8,1,29,4,3,7,1
photo,post_page_157215971120682,157215971120682_813690168806589,https://www.facebook.com/157215971120682/posts/813690168806589,??世大運之星- ??舉起世界 許淑淨Hsu Shu-Ching ??  舉重好手許淑淨拿過各大國際賽事的金牌，包括奧運、亞運、世錦賽及亞錦賽，就差世大運金牌就能完成金牌大滿貫，這次臺北世大運千萬不要錯過，一起進場力挺許淑淨。   1?抓台許淑淨舉重53公斤級  2?澳奧運戰績輝煌2金：?? 2012倫敦奧運女子53公斤級金牌、?? 2016里約奧運子53公斤級金牌  3?世界紀錄：2014年仁川亞運，在女子53公斤級以抓舉101公斤、挺舉132公斤，總和成績233公斤，創53公斤級總和成績舉重世界紀錄??   ?分享圖片為許淑淨集氣加油??  ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19756839_813690168806589_4673833357698465306_n.jpg?oh=65a9ecdaac30247f6d9ebf456ecd859b&oe=59FAAFDF,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19756839_813690168806589_4673833357698465306_n.jpg?oh=d87b004d2b03e84519e513b55590ef49&oe=5A01DC20,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813690168806589/?type=3,facebook.com,2017-07-31T03:44:00+0000,1501472640,2017/7/31 05:44,1045,32,1072,38,1142,28,20,8,4,0,1044,21,6,0,0,0,0,2017/7/31,2017,7,31,0,1,0,1,1
video,post_page_157215971120682,157215971120682_813717958803810,https://www.facebook.com/157215971120682/posts/813717958803810,田徑包含田賽和徑賽各式各樣的項目喔！ 這次世大運田徑的項目有  鐵餅、標槍、鉛球、鏈球、跳高、跳遠、三級跳遠、撐竿跳高； 100 公尺、200 公尺、400 公尺、800 公尺、1500 公尺、5000 公尺、10000 公尺、4x100 公尺接力、4x400 公尺接力、110 公尺跨欄、400 公尺跨欄、3000 公尺障礙； 20 公里競走（個人／團體）、半程馬拉松（個人／團體）、男：十項運動，女：七項運動；  這麼多種項目呢！！　你最想要看那種呢？  ?? 田徑每日賽程 https://goo.gl/kHmHbn ?? 購票進場來為選手加油 https://goo.gl/8JhNcc,田徑,運動,H,Football,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19937545_813718432137096_6583717825729265664_n.jpg?oh=5791ecca83960ecb3b45208302a2a6fe&oe=5A36086C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19937545_813718432137096_6583717825729265664_n.jpg?oh=755b3dcbd6629e0eacf797fae4795d0b&oe=59FC1DD6,https://www.facebook.com/taipei2017/videos/813717958803810/,facebook.com,2017-07-30T09:17:00+0000,1501406220,2017/7/30 11:17,1136,12,1165,161,1338,12,8,4,9,0,1135,28,1,0,0,0,0,2017/7/30,2017,7,30,3,0,1,1,0
video,post_page_157215971120682,157215971120682_813718508803755,https://www.facebook.com/157215971120682/posts/813718508803755,看看著投手與打者，視線交會之間的激烈火花， 每次投出與揮棒，是否讓你熱血沸騰呢?  ? 棒球每日賽程 https://goo.gl/zh2prq ?? 快來買棒球套票享受每場精彩比賽 https://goo.gl/vWCN3S,棒球,運動,H,Baseball,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19937523_813718715470401_5713332923554332672_n.jpg?oh=f67ec17783de2bc5594532b8e8cf02e1&oe=59FDB770,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19937523_813718715470401_5713332923554332672_n.jpg?oh=79710f0fbb57399e33900dbc2611ecec&oe=5A2A8CCA,https://www.facebook.com/taipei2017/videos/813718508803755/,facebook.com,2017-07-30T04:34:52+0000,1501389292,2017/7/30 06:34,741,24,770,87,881,24,11,13,7,0,741,14,1,14,0,0,0,2017/7/30,2017,7,30,2450,0,29,29,0
photo,post_page_157215971120682,157215971120682_817328405109432,https://www.facebook.com/157215971120682/posts/817328405109432,世大運國手??女孩私服大公開??  選手披上球衣、規定服裝上場比賽的畫面，大家都不陌生！ 但在平常生活中，這些女孩又是什麼樣子呢？ 這次帶大家看看世大運國手????? 楊千玫、陳湘婷、鄭先知與黃鈴娟私底下的穿搭風格 是不是很不一樣呢？??  #都好喜歡啊 #戀愛惹 #留言處有更多照片喔  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,運動,運動,H,H,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20264795_825400507635555_7676262254956740097_n.jpg?oh=62566cc95ed4e9a534cbe8364f81b9b5&oe=59EEB327,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20264795_825400507635555_7676262254956740097_n.jpg?oh=f021caa334dc4a6b1c53b42a05b24677&oe=5A2E86D8,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/825400507635555/?type=3,facebook.com,2017-07-29T05:14:00+0000,1501305240,2017/7/29 07:14,2241,37,2336,45,2418,36,17,19,123,0,2239,67,20,6,2,0,0,2017/7/29,2017,7,29,1,0,0,0,0
