type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_829129633929309,https://www.facebook.com/157215971120682/posts/829129633929309,8 月 5 日（六）舉辦開幕典禮系統測試 ?林口選手村及臺北田徑場周邊將配合實施交通管制 ?  大台北地區朋友請注意！ 本週六 8 月 5 日下午舉行「世大運開幕典禮測試」 「林口選手村」及「臺北田徑場」周邊 部分路段封閉、公車停靠站位調整 8月5日欲於上述管制時段及管制範圍進出之民眾，請提前改道。  造成不便敬請見諒，臺北世大運感謝您?  ?? 詳細交通管制資訊 https://goo.gl/2DXEAW,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20604357_829158647259741_758749104490524770_n.jpg?oh=bb463aa3dd2fb899bdbde955d3e62e3b&oe=5A376F2D,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20604357_829158647259741_758749104490524770_n.jpg?oh=7a44c16f0bbf8edf19efdd754bb3920a&oe=5A2CFADA,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829158647259741/?type=3,facebook.com,2017-08-03T12:03:44+0000,1501761824,2017/8/3 14:03,194,0,196,14,210,0,0,0,0,0,194,2,0,0,0,0,0,2017/8/3,2017,8,3,1984,6,13,19,1
photo,post_page_157215971120682,157215971120682_829015207274085,https://www.facebook.com/157215971120682/posts/829015207274085,??快來和我們一起追聖火   全臺聖火傳遞已經快要接近完成了 明日 (8/4) 聖火即將要到 LOVE 的最後一個字母E  E 的第一個點是在新竹縣喔  接下來還會經過新竹市、桃園市、新北市與基隆市 世大運開幕隨著聖火傳遞的腳步越來越靠近了!!  ?? 更多國內聖火傳遞 https://goo.gl/vZKri6 ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #新竹縣 #新竹市 #桃園市 #新北市 #基隆市  #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20525757_829015170607422_7437992831180063366_n.jpg?oh=1afce6a5f0c7aecf807a0f79f507697e&oe=5A39A5E1,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20525757_829015170607422_7437992831180063366_n.jpg?oh=262af43f6a294f2ab11f0a7fa3aa043b&oe=5A01F11E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829015170607422/?type=3,facebook.com,2017-08-03T09:17:00+0000,1501751820,2017/8/3 11:17,338,5,347,27,379,5,3,2,1,0,338,8,1,0,0,0,0,2017/8/3,2017,8,3,19,2,7,9,1
video,post_page_157215971120682,157215971120682_825411110967828,https://www.facebook.com/157215971120682/posts/825411110967828,??世大運聖火傳遞- LOVE路線V第三站高雄 ??聖火首度進入國訓中心 為選手鼓舞士氣  最後火炬手們齊聚壽山情人觀景臺 共同宣示「北高齊心 世大運奪金」 期盼臺灣健兒在本屆世大運創造輝煌佳??  ??下一站 7 月 28 日前進嘉義  ?? 更多國內聖火傳遞 https://goo.gl/wUw9JX ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  The torch relay continues its LOVE route across Taiwan. The torch relay passes to boost the morale of Taiwan s contestants in Kaohsiung on the third leg of the V shaped part.  ??More Torch Relay https://goo.gl/YhKLGz ? Closing Ceremony https://goo.gl/AJpZAC,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20453398_825411830967756_6750176236837797888_n.jpg?oh=2d89bb093cc35844a61c4bb6cbc5c84d&oe=5A33958D,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20453398_825411830967756_6750176236837797888_n.jpg?oh=54e83abb45f2da04f3c3d2f90c1ee483&oe=5A2B1437,https://www.facebook.com/taipei2017/videos/825411110967828/,facebook.com,2017-07-27T11:41:21+0000,1501155681,2017/7/27 13:41,765,8,780,23,811,8,5,3,0,0,763,12,0,3,0,0,0,2017/7/27,2017,7,27,0,0,1,1,0
photo,post_page_157215971120682,157215971120682_823617217813884,https://www.facebook.com/157215971120682/posts/823617217813884,??揭密火炬手服裝????  哇～火炬手跟國手們 穿上精心設計的服裝後?? 帥氣與美麗又升級了呢！  這次的火炬手服裝?? 不只顏色跟設計好看～ 也選用環保與清涼的材質? 是不是很厲害呢  #好想擁有啊  ?? 更多國內聖火傳遞 https://goo.gl/xJw2Lg ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  郭婞淳 KUO  Hsing-Chun 江宏傑 Chiang Hung-Chieh,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20246280_823617217813884_5626908029838305956_n.jpg?oh=bf6266c5b5f2c11215486a27a0f02c29&oe=5A2EBCAF,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20246280_823617217813884_5626908029838305956_n.jpg?oh=b127f3c0c11a01cadca690d831e817af&oe=59F0B950,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/823617217813884/?type=3,facebook.com,2017-07-26T03:44:00+0000,1501040640,2017/7/26 05:44,478,12,489,15,516,11,9,2,3,0,476,10,1,0,0,0,0,2017/7/26,2017,7,26,271,12,16,28,1
video,post_page_157215971120682,157215971120682_824217694420503,https://www.facebook.com/157215971120682/posts/824217694420503,??世大運聖火傳遞- V路線首站台東 ??聖火前進台東，在鹿野高台以熱氣球自由飛傳聖火  2005 世大運跆拳道金牌吳燕妮與2013世大運舉重金牌 郭婞淳 KUO  Hsing-Chun 7 月 25 日登上象徵臺東的「蘭花球」熱氣球，引領聖火翱翔天際務???? ??下一站 7 月 26 日前進屏東  ?? 更多國內聖火傳遞 https://goo.gl/821nPy ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  The Taipei 2017 Universiade torch relay continues its LOVE route across Taiwan. The torch was carried by hot air balloon in Taitung on the first leg of the V-shaped route.  ??More Torch Relay https://goo.gl/821nPy ? Closing Ceremony https://goo.gl/AJpZAC,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20385192_824219404420332_1257159072390578176_n.jpg?oh=2f32d0a7ff3dde36abf6c7adee07dc9e&oe=59F91D0C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20385192_824219404420332_1257159072390578176_n.jpg?oh=37e44eec1c341ac5ce857a897467476f&oe=59EC2EB6,https://www.facebook.com/taipei2017/videos/824217694420503/,facebook.com,2017-07-25T09:17:00+0000,1500974220,2017/7/25 11:17,443,1,457,22,480,1,1,0,1,0,442,10,4,0,0,0,0,2017/7/25,2017,7,25,9,1,2,3,1
photo,post_page_157215971120682,157215971120682_824158404426432,https://www.facebook.com/157215971120682/posts/824158404426432,??快來和我們一起追聖火  21 縣市傳遞第 8 站－臺東  明日 (7/25) 聖火即將要到 LOVE 的 V 第一個點－臺東 聖火已經跑了大半個臺灣，大家有沒有補捉到聖火的身影呢? V的路線是一個愛心，將會經過 9 個縣市喔!  每個地點都有自己的特色  各地的鄉親快快來追聖火喔??  ?? 更多國內聖火傳遞 https://goo.gl/xJw2Lg ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #臺東縣 #屏東縣 #高雄市 #嘉義縣 #雲林縣  #台南市 #嘉義市 #南投縣 #彰化縣 #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20246180_824158404426432_1756293341841241486_n.jpg?oh=483ea854a45a58fe13ae1e9a0438f76a&oe=59FE8CDD,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20246180_824158404426432_1756293341841241486_n.jpg?oh=8bff46e32e18008f41d45aff76a2b3ca&oe=5A2A5622,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/824158404426432/?type=3,facebook.com,2017-07-23T16:00:00+0000,1500825600,2017/7/23 18:00,224,1,236,22,259,1,1,0,0,0,224,7,3,0,1,0,0,2017/7/23,2017,7,23,1,0,0,0,0
photo,post_page_157215971120682,157215971120682_819529111556028,https://www.facebook.com/157215971120682/posts/819529111556028,??快來和我們一起追聖火  21 縣市傳遞第 4 站－宜蘭  明日 (7/19) 聖火即將要到 LOVE 的 O 第一個點－宜蘭 和聖火一起遊玩宜蘭吧！  另外 7 月 20 日、22日及 23 日也將抵達花蓮、苗栗與台中 各地的鄉親快快來追聖火喔??  ?? 更多國內聖火傳遞 https://goo.gl/rXn594 ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #宜蘭縣 #花蓮縣 #苗栗縣 #台中市 #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20139748_819529111556028_2158037654904909933_n.jpg?oh=5f2ef46a9f5d989157eb1da36c7d4f9d&oe=59EDD953,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20139748_819529111556028_2158037654904909933_n.jpg?oh=e94475fe9d845733542d93e62d79ae20&oe=5A2DACAC,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/819529111556028/?type=3,facebook.com,2017-07-18T03:44:00+0000,1500349440,2017/7/18 05:44,255,3,264,10,277,2,2,0,0,0,254,6,3,0,0,0,0,2017/7/18,2017,7,18,0,0,3,3,0
video,post_page_157215971120682,157215971120682_817376395104633,https://www.facebook.com/157215971120682/posts/817376395104633,??聖火傳遞- 澎湖以海陸會合 其中字母 L 串連澎湖、金門、連江三離島 7 月 13 日抵達首站澎湖縣 以陸海會合方式完成澎湖聖火傳遞任務???? 下一站 7 月 15 日交給金門鄉親囉!  ?? 更多火炬介紹 https://goo.gl/Fp8Uaj ?? 一起來追聖火 https://goo.gl/rXn594 ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr  The L part of the route spans the three outlying island counties. The domestic torch relay started in Penghu  The sacred flame was carried by windsurfing board.  More Torch??https://goo.gl/Fp8Uaj Torch Relay??https://goo.gl/rXn594 Flaming Ceremony??https://goo.gl/xr1dgr,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20064112_817379898437616_3303797889007878144_n.jpg?oh=6b618e320d10003df2c48a5e48e2ee17&oe=5A3934FF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20064112_817379898437616_3303797889007878144_n.jpg?oh=d4d7458cef1ff2459e9487dea415de3d&oe=5A32AC45,https://www.facebook.com/taipei2017/videos/817376395104633/,facebook.com,2017-07-14T02:44:00+0000,1500000240,2017/7/14 04:44,647,10,667,38,715,10,6,4,4,0,647,15,5,0,0,0,0,2017/7/14,2017,7,14,6,0,0,0,0
video,post_page_157215971120682,157215971120682_817777678397838,https://www.facebook.com/157215971120682/posts/817777678397838,? 8 月 30 日閉幕式～向選手們致敬?? 8月30日閉幕式 熱血揮灑後、青春狂飆後 我們都要一起來向選手們致敬！ 流行音樂女聲唱將、獨立樂團和好多表演藝術團體都來了～ 那你呢？ ? 快來High翻閉幕式買票去→https://goo.gl/AJpZAC ?? 更多2017臺北世大運閉幕式 https://goo.gl/2voxvQ,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20107381_817779968397609_5238183333002739712_n.jpg?oh=82be670f0f48c9b5ea1c726d952a982a&oe=59EAFDFC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20107381_817779968397609_5238183333002739712_n.jpg?oh=39d9af3bf8dcb2c13926e61259c7055e&oe=59FE3B46,https://www.facebook.com/taipei2017/videos/817777678397838/,facebook.com,2017-07-12T16:00:00+0000,1499875200,2017/7/12 18:00,586,8,605,112,725,4,4,0,2,0,585,19,0,0,0,0,0,2017/7/12,2017,7,12,4,0,0,0,0
video,post_page_157215971120682,157215971120682_816040861904853,https://www.facebook.com/157215971120682/posts/816040861904853,??聖火傳遞?以愛為名?  國內聖火傳遞正在如火如荼的進行著 大家知道2017臺北世大運的聖火火炬為什麼會這麼美嗎?  讓設計師們和你說他們的心血結晶 ?  ?? 更多火炬介紹 https://goo.gl/Fp8Uaj ?? 一起來追聖火 https://goo.gl/rXn594 ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr  ??Torch Relay  In the Name of Love ?  The torch design of the Taipei 2017 SU was inspired by the idea of “Gentlemanly Fair Play” in the Confucian Analects.  More Torch??https://goo.gl/Fp8Uaj Torch Relay??https://goo.gl/rXn594 Flaming Ceremony??https://goo.gl/xr1dgr,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20010192_816072151901724_2259438382956412928_n.jpg?oh=44d2c8d25bcd1b9abfc669da9204dc42&oe=59F6DF56,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20010192_816072151901724_2259438382956412928_n.jpg?oh=db03e0194e3685ef8d8f0da623aab24f&oe=5A3826EC,https://www.facebook.com/taipei2017/videos/816040861904853/,facebook.com,2017-07-12T09:17:00+0000,1499851020,2017/7/12 11:17,758,3,789,89,881,3,2,1,0,0,758,26,5,0,0,0,0,2017/7/12,2017,7,12,12,0,0,0,0
