type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,年,月,日,1正評,2負,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_829129633929309,https://www.facebook.com/157215971120682/posts/829129633929309,8 月 5 日（六）舉辦開幕典禮系統測試 ?林口選手村及臺北田徑場周邊將配合實施交通管制 ?  大台北地區朋友請注意！ 本週六 8 月 5 日下午舉行「世大運開幕典禮測試」 「林口選手村」及「臺北田徑場」周邊 部分路段封閉、公車停靠站位調整 8月5日欲於上述管制時段及管制範圍進出之民眾，請提前改道。  造成不便敬請見諒，臺北世大運感謝您?  ?? 詳細交通管制資訊 https://goo.gl/2DXEAW,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20604357_829158647259741_758749104490524770_n.jpg?oh=bb463aa3dd2fb899bdbde955d3e62e3b&oe=5A376F2D,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20604357_829158647259741_758749104490524770_n.jpg?oh=7a44c16f0bbf8edf19efdd754bb3920a&oe=5A2CFADA,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829158647259741/?type=3,facebook.com,2017-08-03T12:03:44+0000,1501761824,2017/8/3 14:03,194,0,196,14,210,0,0,0,0,0,194,2,0,0,0,0,0,2017/8/3,2017,8,3,1984,6,13,19,1
photo,post_page_157215971120682,157215971120682_829015207274085,https://www.facebook.com/157215971120682/posts/829015207274085,??快來和我們一起追聖火   全臺聖火傳遞已經快要接近完成了 明日 (8/4) 聖火即將要到 LOVE 的最後一個字母E  E 的第一個點是在新竹縣喔  接下來還會經過新竹市、桃園市、新北市與基隆市 世大運開幕隨著聖火傳遞的腳步越來越靠近了!!  ?? 更多國內聖火傳遞 https://goo.gl/vZKri6 ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #新竹縣 #新竹市 #桃園市 #新北市 #基隆市  #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20525757_829015170607422_7437992831180063366_n.jpg?oh=1afce6a5f0c7aecf807a0f79f507697e&oe=5A39A5E1,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20525757_829015170607422_7437992831180063366_n.jpg?oh=262af43f6a294f2ab11f0a7fa3aa043b&oe=5A01F11E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829015170607422/?type=3,facebook.com,2017-08-03T09:17:00+0000,1501751820,2017/8/3 11:17,338,5,347,27,379,5,3,2,1,0,338,8,1,0,0,0,0,2017/8/3,2017,8,3,19,2,7,9,1
event,post_page_157215971120682,157215971120682_148362095743429,https://www.facebook.com/157215971120682/posts/148362095743429,倒數一週，世大運即將開幕！ 力與美的體育表演，讓我們看見運動員無限潛能！ 「2017臺北世大運」這場青春的運動饗宴，進入最後衝刺，《一起世大運 8倒數》將展現大學生們的青春活力，搭配世大運22項賽事，用力與美的體育表演會，歡慶世大運的到來！  《一起世大運 8倒數 看見!青春之力》 時間：2017.8.11(五)19:00 地點：信義香堤廣場 詳細活動介紹：http://events.2017.taipei/,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t1.0-0/c53.0.130.130/p130x130/20637881_829045347271071_630212860689733357_n.jpg?oh=60b9b326b17f63f88186a3ac695339b4&oe=5A348887,https://scontent.xx.fbcdn.net/v/t1.0-9/c112.0.275.275/20637881_829045347271071_630212860689733357_n.jpg?oh=f253132fe6c1602b1f0f875e29992cd1&oe=59EC085E,https://www.facebook.com/events/148362095743429/,facebook.com,2017-08-03T04:16:39+0000,1501733799,2017/8/3 06:16,502,2,515,0,517,2,2,0,0,0,500,10,2,0,1,0,0,2017/8/3,2017,8,3,9,3,0,3,1
video,post_page_157215971120682,157215971120682_828860053956267,https://www.facebook.com/157215971120682/posts/828860053956267,??世大運韻律體操測試賽-詹庭甄個人全能奪銅??  世大運韻律體操測試賽8/2-8/3，在南港展覽館舉行 第一天賽程我國世大運代表隊分別在團體全能賽及個人全能賽收下兩銅 其中來自國立體大的詹庭甄以總分57.250拿到個人全能賽銅牌 一起來看看體操精靈的美妙舞姿!!  →2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ →8/27 - 8/29 進場為選手加油喔 ?? https://goo.gl/gxbMEb,體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617776_828860887289517_6400878594037383168_n.jpg?oh=00d153a89f5d5ddd28d1a6f1bc5e4908&oe=5A3568CC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617776_828860887289517_6400878594037383168_n.jpg?oh=2738fc7e8f4c1550334b116ad7d832ef&oe=5A2CE776,https://www.facebook.com/taipei2017/videos/828860053956267/,facebook.com,2017-08-03T03:44:00+0000,1501731840,2017/8/3 05:44,567,5,582,25,612,5,5,0,0,0,565,15,0,0,0,0,0,2017/8/3,2017,8,3,0,0,0,0,0
photo,post_page_157215971120682,157215971120682_828268240682115,https://www.facebook.com/157215971120682/posts/828268240682115,??聯發科技股份有限公司、宏碁股份有限公司、悠遊卡股份有限公司成為2017臺北世大運官方供應商??  聯發科技、宏碁、悠遊卡公司一同合作 為1.3萬名選手打造出兼具實用與便利的智慧健身夥伴- Leap Ware? 這支特別的智慧運動手錶內建悠遊卡儲值、消費功能同時也可偵測即時心律、追蹤個人健康資訊等功能 有台灣科技企業的支持，讓世界看見臺灣的軟實力!????♂?  ?? 購票進場一起支持世大運 https://tickets.2017.taipei/,廣告贊助,廣告贊助,G,G,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20476377_828268240682115_6072989289358708716_n.jpg?oh=75ed9a1d36aa22722a147e9e5524338d&oe=5A2D495C,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20476377_828268240682115_6072989289358708716_n.jpg?oh=926a2f695142807397e5642e95f5dfdf&oe=5A018FA3,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828268240682115/?type=3,facebook.com,2017-08-03T01:00:00+0000,1501722000,2017/8/3 03:00,417,11,430,32,473,11,10,1,12,0,415,10,3,0,0,0,0,2017/8/3,2017,8,3,23,0,1,1,0
video,post_page_157215971120682,157215971120682_828752573967015,https://www.facebook.com/157215971120682/posts/828752573967015,【名人說故事4 - 許淑淨】 女生的力量可以有多大? 她舉起了全世界、讓世界看到臺灣 臺灣運動史上唯一奪得兩面金牌的選手 許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  #名人說故事 #2017臺北世大運 ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617714_828757397299866_4989928605476716544_n.jpg?oh=36bc9034d6906d1a4913e4f4a84defdd&oe=5A2EC6EF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617714_828757397299866_4989928605476716544_n.jpg?oh=d11159a1c04c1fd1a53cac177fa5bd83&oe=5A2AD755,https://www.facebook.com/taipei2017/videos/828752573967015/,facebook.com,2017-08-02T13:00:00+0000,1501678800,2017/8/2 15:00,1278,16,1320,126,1462,16,13,3,5,0,1277,41,1,0,0,0,0,2017/8/2,2017,8,2,4,0,0,0,0
video,post_page_157215971120682,157215971120682_828672713975001,https://www.facebook.com/157215971120682/posts/828672713975001,2017臺北世界大學運動會即將來到 熊讚由2D進化至3D，展演各式運動種類動作， 影片中不論是體操熊旋轉跳躍、溜冰熊競速追風、 武術熊一身武藝、田徑熊登高一跳等，  希望小朋友跟爸爸媽媽在 8 月 19 日至 8 月 30 日一起來購票觀看世大運，跟熊讚一起替台灣選手加油打氣，也跟熊讚一起在運動場上感受動感時刻，並留下美麗回憶。  ?? 購票跟熊讚一起替台灣選手加油打氣 https://tickets.2017.taipei/,吉祥物,運動,H,H,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20630793_828673163974956_8752543123273416704_n.jpg?oh=e42b351a77b24f725d5d78a10d9ff72d&oe=5A31BC3A,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20630793_828673163974956_8752543123273416704_n.jpg?oh=470c0215dcf8ea1874e8802be58ca3f6&oe=5A35AB80,https://www.facebook.com/taipei2017/videos/828672713975001/,facebook.com,2017-08-02T09:17:00+0000,1501665420,2017/8/2 11:17,720,10,747,101,858,10,10,0,4,0,720,20,1,6,0,0,0,2017/8/2,2017,8,2,29,4,3,7,1
photo,post_page_157215971120682,157215971120682_828608027314803,https://www.facebook.com/157215971120682/posts/828608027314803,??2017臺北世大運售票資訊 競賽門票清票釋出公告??  ??專屬世大運粉絲福利 單日競賽門票最後預購機會 今日 8/2 (三) 中午12:00 開始再次販售  7/31止未售完之套票額度將釋出至每日競賽門票販售， 還沒有搶到熱門賽事的粉絲們不要錯過這個機會喔!!!!  以下售票管道同步開放再次販售 ?? 2017臺北世大運購票網站 https://tickets.2017.taipei/ ?? 超商機台: 7-ELEVEN ibon 、萊爾富Life-ET、OK超商OK.go  ??競賽門票釋出公告 https://goo.gl/aQ1LpE,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20476543_828608027314803_2953165435818117540_n.jpg?oh=b660203bf142f709febcb024e8e66e7e&oe=59EC4F16,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20476543_828608027314803_2953165435818117540_n.jpg?oh=cbbe0de2ee1121b64d049190b85dab8b&oe=59FB6DE9,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828608027314803/?type=3,facebook.com,2017-08-02T03:53:08+0000,1501645988,2017/8/2 05:53,759,78,771,43,892,67,41,26,29,0,759,5,3,4,0,0,0,2017/8/2,2017,8,2,1,0,0,0,0
photo,post_page_157215971120682,157215971120682_828261104016162,https://www.facebook.com/157215971120682/posts/828261104016162,??台新國際商業銀行成為2017臺北世大運官方供應商??  因重視臺灣青年選手的養成 台新長期贊助多位體育選手、同時也參與本次世大運! 除現金贊助外，也將整合旗下宣傳資源 以實際行動支持臺灣體育發展與國際能見度??  #台新國際商業銀行 #練習成就今天 #為世大運加油  ?? 一起購票進場為選手加油 https://tickets.2017.taipei/,廣告贊助,廣告贊助,G,G,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20431385_828261104016162_4863271147324221835_n.png?oh=8131d83f36ca1acb3e508d3c370e8114&oe=59FE4FB8,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20431385_828261104016162_4863271147324221835_n.png?oh=e776b175df328dcdba13f382d20466d8&oe=5A35F347,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828261104016162/?type=3,facebook.com,2017-08-02T01:00:00+0000,1501635600,2017/8/2 03:00,262,2,267,10,279,2,2,0,0,0,262,3,2,0,0,0,0,2017/8/2,2017,8,2,4,2,2,4,1
video,post_page_157215971120682,157215971120682_828292987346307,https://www.facebook.com/157215971120682/posts/828292987346307,【名人說故事4】引言人- 徐裴翊  女生的力量可以有多大?她讓世界看見台灣 臺灣運動史上唯一奪得兩面金牌的選手許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  明天8/2 晚上9:00 完整呈現許淑淨Hsu Shu-Ching的故事  #名人說故事 #2017臺北世大運  ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20613581_828295520679387_1140484434663833600_n.jpg?oh=7d41f5e3babe89ffc26728ed57c74599&oe=59EB41BF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20613581_828295520679387_1140484434663833600_n.jpg?oh=4f95fefb1e1dbd9e1d7001c6ac4d6e3e&oe=59F73005,https://www.facebook.com/taipei2017/videos/828292987346307/,facebook.com,2017-08-01T13:00:00+0000,1501592400,2017/8/1 15:00,762,6,795,61,862,6,5,1,2,0,761,28,5,0,0,0,0,2017/8/1,2017,8,1,2,0,5,5,0
